Time stamp,Open,Close,High,Low,Volume
2020-02-14 15:59:00,324.83,324.95,324.95,324.67,282969.0
2020-02-14 15:58:00,324.8,324.82,324.96,324.76,149813.0
2020-02-14 15:57:00,324.98,324.8,324.99,324.77,147054.0
2020-02-14 15:56:00,324.91,324.97,325.0,324.85,113817.0
2020-02-14 15:55:00,324.97,324.89,324.99,324.78,148127.0
2020-02-14 15:54:00,324.52,324.97,324.99,324.51,245288.0
2020-02-14 15:53:00,324.4,324.51,324.54,324.33,89159.0
2020-02-14 15:52:00,324.33,324.38,324.47,324.29,62199.0
2020-02-14 15:51:00,324.45,324.32,324.49,324.26,73580.0
2020-02-14 15:50:00,324.49,324.42,324.67,324.36,113291.0
2020-02-14 15:49:00,324.47,324.46,324.5,324.38,68086.0
2020-02-14 15:48:00,324.42,324.45,324.49,324.37,84789.0
2020-02-14 15:47:00,324.4,324.43,324.45,324.34,43494.0
2020-02-14 15:46:00,324.37,324.34,324.45,324.29,41074.0
2020-02-14 15:45:00,324.18,324.37,324.45,324.18,86499.0
2020-02-14 15:44:00,324.04,324.16,324.19,324.04,37347.0
2020-02-14 15:43:00,324.0,324.02,324.09,324.0,22978.0
2020-02-14 15:42:00,324.02,324.0,324.04,323.95,21580.0
2020-02-14 15:41:00,324.1,324.02,324.12,323.94,41659.0
2020-02-14 15:40:00,324.11,324.11,324.13,324.05,23619.0
2020-02-14 15:39:00,324.13,324.12,324.15,324.08,22182.0
2020-02-14 15:38:00,324.09,324.13,324.16,324.05,28459.0
2020-02-14 15:37:00,324.09,324.09,324.16,323.97,35134.0
2020-02-14 15:36:00,323.95,324.11,324.14,323.91,52855.0
2020-02-14 15:35:00,323.81,323.94,323.97,323.81,30759.0
2020-02-14 15:34:00,323.77,323.82,323.85,323.71,38959.0
2020-02-14 15:33:00,323.68,323.76,323.82,323.68,35603.0
2020-02-14 15:32:00,323.78,323.68,323.79,323.66,28333.0
2020-02-14 15:31:00,323.76,323.78,323.84,323.71,25524.0
2020-02-14 15:30:00,323.72,323.73,323.75,323.61,29403.0
2020-02-14 15:29:00,323.79,323.75,323.79,323.66,32638.0
2020-02-14 15:28:00,323.96,323.77,323.96,323.69,48937.0
2020-02-14 15:27:00,323.88,323.97,324.0,323.88,24503.0
2020-02-14 15:26:00,323.83,323.89,323.93,323.82,19782.0
2020-02-14 15:25:00,323.84,323.85,323.9,323.78,16473.0
2020-02-14 15:24:00,323.86,323.86,323.9,323.73,30170.0
2020-02-14 15:23:00,323.88,323.87,323.96,323.85,23783.0
2020-02-14 15:22:00,323.82,323.86,324.01,323.76,96945.0
2020-02-14 15:21:00,323.8,323.82,323.9,323.79,32424.0
2020-02-14 15:20:00,323.92,323.8,323.97,323.8,39292.0
2020-02-14 15:19:00,324.04,323.93,324.09,323.93,58540.0
2020-02-14 15:18:00,324.02,324.03,324.1,324.0,20209.0
2020-02-14 15:17:00,324.08,324.01,324.09,324.0,28812.0
2020-02-14 15:16:00,324.05,324.08,324.13,324.0,25424.0
2020-02-14 15:15:00,324.09,324.05,324.14,324.05,38532.0
2020-02-14 15:14:00,324.05,324.07,324.13,324.0,29543.0
2020-02-14 15:13:00,324.09,324.04,324.2,324.01,24206.0
2020-02-14 15:12:00,324.22,324.07,324.23,323.99,61232.0
2020-02-14 15:11:00,324.4,324.2,324.51,324.2,35635.0
2020-02-14 15:10:00,324.36,324.41,324.41,324.22,23496.0
2020-02-14 15:09:00,324.45,324.35,324.46,324.3,24825.0
2020-02-14 15:08:00,324.44,324.46,324.51,324.39,20664.0
2020-02-14 15:07:00,324.32,324.45,324.45,324.26,20720.0
2020-02-14 15:06:00,324.28,324.33,324.39,324.21,28101.0
2020-02-14 15:05:00,324.25,324.23,324.34,324.22,11943.0
2020-02-14 15:04:00,324.28,324.21,324.37,324.2,21726.0
2020-02-14 15:03:00,324.41,324.27,324.44,324.27,19582.0
2020-02-14 15:02:00,324.33,324.4,324.46,324.33,12633.0
2020-02-14 15:01:00,324.49,324.31,324.49,324.25,31431.0
2020-02-14 15:00:00,324.46,324.47,324.53,324.44,29541.0
2020-02-14 14:59:00,324.39,324.47,324.47,324.35,18910.0
2020-02-14 14:58:00,324.41,324.37,324.48,324.31,25509.0
2020-02-14 14:57:00,324.3,324.39,324.41,324.3,19295.0
2020-02-14 14:56:00,324.21,324.29,324.34,324.2,32462.0
2020-02-14 14:55:00,324.14,324.18,324.21,324.11,28208.0
2020-02-14 14:54:00,324.18,324.12,324.19,324.04,17140.0
2020-02-14 14:53:00,324.21,324.17,324.25,324.17,16409.0
2020-02-14 14:52:00,324.17,324.22,324.25,324.13,22926.0
2020-02-14 14:51:00,324.16,324.16,324.25,324.11,20324.0
2020-02-14 14:50:00,324.14,324.17,324.17,324.09,15464.0
2020-02-14 14:49:00,324.2,324.15,324.21,324.11,17188.0
2020-02-14 14:48:00,324.09,324.2,324.27,324.07,27439.0
2020-02-14 14:47:00,324.03,324.06,324.17,324.02,20058.0
2020-02-14 14:46:00,324.26,324.05,324.27,324.05,22798.0
2020-02-14 14:45:00,324.34,324.22,324.34,324.22,15588.0
2020-02-14 14:44:00,324.23,324.34,324.38,324.2,14220.0
2020-02-14 14:43:00,324.29,324.23,324.34,324.23,13894.0
2020-02-14 14:42:00,324.36,324.29,324.36,324.23,39246.0
2020-02-14 14:41:00,324.43,324.35,324.46,324.33,13478.0
2020-02-14 14:40:00,324.55,324.36,324.55,324.35,19887.0
2020-02-14 14:39:00,324.61,324.54,324.62,324.41,25424.0
2020-02-14 14:38:00,324.56,324.61,324.61,324.51,57199.0
2020-02-14 14:37:00,324.42,324.57,324.62,324.41,50115.0
2020-02-14 14:36:00,324.45,324.35,324.51,324.3,51118.0
2020-02-14 14:35:00,324.21,324.45,324.46,324.15,104739.0
2020-02-14 14:34:00,324.2,324.19,324.2,324.1,48267.0
2020-02-14 14:33:00,323.92,324.23,324.3,323.92,48013.0
2020-02-14 14:32:00,324.03,323.9,324.04,323.85,28772.0
2020-02-14 14:31:00,324.04,324.02,324.11,323.98,28641.0
2020-02-14 14:30:00,324.12,324.06,324.13,324.03,20861.0
2020-02-14 14:29:00,324.15,324.13,324.21,324.12,35075.0
2020-02-14 14:28:00,324.11,324.14,324.19,324.1,18832.0
2020-02-14 14:27:00,324.08,324.13,324.26,324.08,40239.0
2020-02-14 14:26:00,324.02,324.08,324.08,323.96,35831.0
2020-02-14 14:25:00,323.97,323.98,324.05,323.94,28948.0
2020-02-14 14:24:00,323.97,323.95,323.98,323.87,25396.0
2020-02-14 14:23:00,323.77,323.98,323.99,323.77,52993.0
2020-02-14 14:22:00,323.71,323.76,323.76,323.57,38625.0
2020-02-14 14:21:00,323.71,323.7,323.8,323.62,50013.0
2020-02-14 14:20:00,323.58,323.71,323.76,323.57,39807.0
2020-02-14 14:19:00,323.48,323.57,323.64,323.48,59537.0
2020-02-14 14:18:00,323.57,323.44,323.57,323.34,82867.0
2020-02-14 14:17:00,323.63,323.56,323.71,323.53,54531.0
2020-02-14 14:16:00,323.88,323.64,323.93,323.58,49642.0
2020-02-14 14:15:00,323.86,323.88,323.92,323.79,50493.0
2020-02-14 14:14:00,324.05,323.86,324.05,323.86,43665.0
2020-02-14 14:13:00,324.16,324.05,324.16,324.03,29776.0
2020-02-14 14:12:00,324.27,324.14,324.31,324.12,24908.0
